"","SHELFMARK","MID","Run","BB","SP","BD","CL","INC","BBID","BBNF","BBF1T","BBF1ID","BBF2T","BBF2ID","BBF3T","BBF3ID","BBF4T","BBF4ID","SPID","SPNF","SPF1T","SPF1ID","SPF2T","SPF2ID","SPF3T","SPF3ID","SPF4T","SPF4ID","SPF5T","SPF5ID","SPF6T","SPF6ID","SPF7T","SPF7ID","SPF8T","SPF8ID","BD1ID","BD2ID","CLP1","CLP1CSR","CLP2","CLP2CSR","BD1BDCLC1ID","BD2BDCLC1ID","BD2CSR1ID","BD1BDCLC2ID","BD2BDCLC2ID","BD2CSR2ID","SR","AR","SIR","VSR","KCR"
"1","Arabica0004","MID1230010003",1,2,3,0,0,10003,"CID1000010",2,"knife-cut recesses","FID10000020","knife-cut recesses","FID10000021",NA,NA,NA,NA,"CID1000009",6,"adhesive recesses","FID10000014","adhesive recesses","FID10000015","sewing recesses","FID10000016","sewing recesses","FID10000017","sewing recesses","FID10000018","sewing recesses","FID10000019",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE
"2","Arabica0012","MID1238010009",1,2,3,8,0,10009,"CID1000032",4,"v-shaped recesses","FID10000044","v-shaped recesses","FID10000045","knife-cut recesses","FID10000052","knife-cut recesses","FID10000053","CID1000031",8,"v-shaped recesses","FID10000044","v-shaped recesses","FID10000045","sewing recesses","FID10000046","sewing recesses","FID10000047","sewing recesses","FID10000048","sewing recesses","FID10000049","sewing recesses","FID10000050","sewing recesses","FID10000051","CID1000033","CID1000034",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE
"3","Arabica0016","MID1229010013",1,2,2,9,0,10013,"CID1000048",4,"sawn-in recesses","FID10000074","sawn-in recesses","FID10000075","knife-cut recesses","FID10000080","knife-cut recesses","FID10000081","CID1000047",6,"sawn-in recesses","FID10000074","sawn-in recesses","FID10000075","sewing recesses","FID10000076","sewing recesses","FID10000077","sewing recesses","FID10000078","sewing recesses","FID10000079",NA,NA,NA,NA,"CID1000049","CID1000050",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE
"4","Arabica0021","MID1230010017",1,2,3,0,0,10017,"CID1000064",2,"sawn-in recesses","FID10000101","sawn-in recesses","FID10000102",NA,NA,NA,NA,"CID1000063",2,"sawn-in recesses","FID10000101","sawn-in recesses","FID10000102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"5","Arabica0022","MID1200010018",1,2,0,0,0,10018,"CID1000065",4,"sawn-in recesses",NA,"sawn-in recesses",NA,"knife-cut recesses","FID10000103","knife-cut recesses","FID10000104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"6","Arabica0024","MID1230010020",1,2,3,0,0,10020,"CID1000071",4,"v-shaped recesses","FID10000113","v-shaped recesses","FID10000114","knife-cut recesses","FID10000119","knife-cut recesses","FID10000120","CID1000070",6,"v-shaped recesses","FID10000113","v-shaped recesses","FID10000114","sewing recesses","FID10000115","sewing recesses","FID10000116","sewing recesses","FID10000117","sewing recesses","FID10000118",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE
"7","Arabica0026","MID1230010022",1,2,3,0,0,10022,"CID1000077",4,"sawn-in recesses","FID10000129","sawn-in recesses","FID10000130","knife-cut recesses","FID10000131","knife-cut recesses","FID10000132","CID1000076",2,"sawn-in recesses","FID10000129","sawn-in recesses","FID10000130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"8","Arabica0029","MID1239310024",1,2,3,9,3,10024,"CID1000083",2,"knife-cut recesses","FID10000141","knife-cut recesses","FID10000142",NA,NA,NA,NA,"CID1000082",4,"sewing recesses","FID10000137","sewing recesses","FID10000138","sewing recesses","FID10000139","sewing recesses","FID10000140",NA,NA,NA,NA,NA,NA,NA,NA,"CID1000084","CID1000085",TRUE,FALSE,FALSE,FALSE,"CID1000086","CID1000086",NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE
"9","Arabica0030","MID1234010025",1,2,3,4,0,10025,"CID1000088",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000087",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000089",NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Arabica0031","MID1235010026",1,2,3,5,0,10026,"CID1000091",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000090",3,"adhesive recesses","FID10000143","adhesive recesses","FID10000144","adhesive recesses","FID10000145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000092",NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"11","Arabica0034","MID1219010028",1,2,1,9,0,10028,"CID1000097",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1000098","CID1000099",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
